Shortcut,Phrase,
Head,"Hi %cust_a%greeting_a This is Sam, your %app %role. I'm on my way to %store now to shop for your order. I'll let you know when I begin.",
Head,"Hi %cust_b%greeting_b This is Sam, your %app %role. I'm on my way to %store now to shop for your order. I'll let you know when I begin.",
Head,"Hi %cust_c%greeting_c This is Sam, your %app %role. I'm on my way to %store now to shop for your order. I'll let you know when I begin.",
Head,"Hi %cust_d%greeting_d This is Sam, your %app %role. I'm on my way to %store now to shop for your order. I'll let you know when I begin.",
Head,"Hi %cust_e%greeting_e This is Sam, your %app %role. I'm on my way to %store now to shop for your order. I'll let you know when I begin.",
Head,"Hi %cust_f%greeting_f This is Sam, your %app %role. I'm on my way to %store now to shop for your order. I'll let you know when I begin.",
Head,"Hi %cust_g%greeting_g This is Sam, your %app %role. I'm on my way to %store now to shop for your order. I'll let you know when I begin.",
Head,"Hi %cust_h%greeting_h This is Sam, your %app %role. I'm on my way to %store now to shop for your order. I'll let you know when I begin.",
Leave,You can follow my location in real time here: %location,
Leave,"Hi %cust_a, it's [hour/12]:[minute] [am/pm] and I'm leaving %store now with your order. I'll message you when I know my ETA and again when I have completed your delivery. 🚗",
Leave,"Hi %cust_a, it's [hour/12]:[minute] [am/pm] and I'm leaving %store now with your order. I'll message you when I know my ETA and again when I have completed your delivery. You are the 1st stop on my delivery route. 🚗",
Leave,"Hi %cust_b, it's [hour/12]:[minute] [am/pm] and I'm leaving %store now with your order. I'll message you when I know my ETA and again when I have completed your delivery. You are the 2nd stop on my delivery route. 🚗",
Leave,"Hi %cust_c, it's [hour/12]:[minute] [am/pm] and I'm leaving %store now with your order. I'll message you when I know my ETA and again when I have completed your delivery. You are the 3rd stop on my delivery route. 🚗",
Leave,"Hi %cust_d, it's [hour/12]:[minute] [am/pm] and I'm leaving %store now with your order. I'll message you when I know my ETA and again when I have completed your delivery. You are the 4th stop on my delivery route. 🚗",
Leave,"Hi %cust_e, it's [hour/12]:[minute] [am/pm] and I'm leaving %store now with your order. I'll message you when I know my ETA and again when I have completed your delivery. You are the 5th stop on my delivery route. 🚗",
Leave,"Hi %cust_f, it's [hour/12]:[minute] [am/pm] and I'm leaving %store now with your order. I'll message you when I know my ETA and again when I have completed your delivery. You are the 6th stop on my delivery route. 🚗",
Leave,"Hi %cust_g, it's [hour/12]:[minute] [am/pm] and I'm leaving %store now with your order. I'll message you when I know my ETA and again when I have completed your delivery. You are the 7th stop on my delivery route. 🚗",
Leave,"Hi %cust_h, it's [hour/12]:[minute] [am/pm] and I'm leaving %store now with your order. I'll message you when I know my ETA and again when I have completed your delivery. You are the 8th stop on my delivery route. 🚗",
Door,"Hi %cust_a, it's [hour/12]:[minute] [am/pm] and I just dropped off your %store order outside of your door, as you requested. Thank you, and have a fantastic %time_day! 👋
-Sam, your %app %role 🧔",
Door,"Hi %cust_b, it's [hour/12]:[minute] [am/pm] and I just dropped off your %store order outside of your door, as you requested. Thank you, and have a fantastic %time_day! 👋
-Sam, your %app %role 🧔",
Door,"Hi %cust_c, it's [hour/12]:[minute] [am/pm] and I just dropped off your %store order outside of your door, as you requested. Thank you, and have a fantastic %time_day! 👋
-Sam, your %app %role 🧔",
Door,"Hi %cust_d, it's [hour/12]:[minute] [am/pm] and I just dropped off your %store order outside of your door, as you requested. Thank you, and have a fantastic %time_day! 👋
-Sam, your %app %role 🧔",
Door,"Hi %cust_e, it's [hour/12]:[minute] [am/pm] and I just dropped off your  %store order outside of your door, as you requested. Thank you, and have a fantastic %time_day! 👋
-Sam, your %app %role 🧔",
Door,"Hi %cust_f, it's [hour/12]:[minute] [am/pm] and I just dropped off your  %store order outside of your door, as you requested. Thank you, and have a fantastic %time_day! 👋
-Sam, your %app %role 🧔",
Door,"Hi %cust_g, it's [hour/12]:[minute] [am/pm] and I just dropped off your  %store order outside of your door, as you requested. Thank you, and have a fantastic %time_day! 👋
-Sam, your %app %role 🧔",
Door,"Hi %cust_h, it's [hour/12]:[minute] [am/pm] and I just dropped off your  %store order outside of your door, as you requested. Thank you, and have a fantastic %time_day! 👋
-Sam, your %app %role 🧔",
Hand,"Hi %cust_a, it's [hour/12]:[minute] [am/pm] and I just handed you your %store order, as you requested. Thank you, and have a fantastic %time_day! 👋
-Sam, your %app %role 🧔",
